"term","strength","rank"
"challenges faced",419,3561
"student performance",420,3562
"pedagogical content",422,3563
"social support",423,3564
"educational outcomes",423,3564
"public elementary schools",423,3564
"elementary mathematics",425,3567
"instructional practices",425,3567
"professional learning",425,3567
"factors related",425,3567
"millennium development",425,3567
"national policy",426,3572
"teacher development",428,3573
"junior high schools",429,3574
"reading skill",430,3575
"physical education teachers",430,3575
"prospective teacher",431,3577
"prospective teachers",431,3577
"faculty of education",432,3579
"health status",433,3580
"blood pressure",435,3581
"grade elementary",435,3581
"policy makers",437,3583
"training programs",438,3584
"college student",439,3585
"psychometric properties",439,3585
"randomized controlled",439,3585
"age groups",441,3588
"core curriculum",442,3589
"efficacy beliefs",443,3590
"curriculum design",445,3591
"local government",445,3591
"demographic factors",445,3591
"quantitative research",446,3594
"mathematics teaching",447,3595
"teaching mode",447,3595
"family income",448,3597
"communication technology",449,3598
"upper secondary",449,3598
"literacy skills",450,3600
"secondary level",451,3601
"analysis of variance",452,3602
"discourse analysis",452,3602
"school districts",452,3602
"tertiary education",452,3602
"santa catarina",455,3606
"online learning",456,3607
"schools located",456,3607
"urban school",457,3609
"early elementary",458,3610
"science learning",459,3611
"basic education commission",459,3611
"in-service teachers",460,3613
"educational attainment",461,3614
"structural equation modeling",461,3614
"likert scale",463,3616
"education service",465,3617
"digital technologies",469,3618
"secondary school students",470,3619
"educational quality",471,3620
"learning opportunities",471,3620
"public educational",471,3620
"health survey",472,3623
"technology education",472,3623
"public basic education",472,3623
"basic education development index",473,3626
"natural sciences",473,3626
"education development index",473,3626
"educational environment",474,3629
"educational practices",475,3630
"conceptual framework",476,3631
"economic development",477,3632
"job satisfaction",479,3633
"participant observation",479,3633
"regression analyses",479,3633
"learning system",479,3633
"brazilian education",480,3637
"teacher preparation programs",481,3638
"teachersâ€™ perceptions",482,3639
"equation modeling",482,3639
"quantitative method",484,3641
"federal university",485,3642
"physical education teacher",486,3643
"linear model",488,3644
"human development",492,3645
"factors influencing",494,3646
"education courses",495,3647
"teaching process",495,3647
"multivariate analysis",496,3649
"special needs",498,3650
"teacher training program",499,3651
"logistic regression analysis",500,3652
"basic education programme",501,3653
"state school",501,3653
"distance learning",502,3655
"learning method",502,3655
"controlled trial",503,3657
"sustainable development goal",504,3658
"decision making",505,3659
"elementary education program",508,3660
"learning material",509,3661
"sample size",509,3661
"improve students",511,3663
"intervention program",512,3664
"elementary education majors",513,3665
"health problems",515,3666
"case studies",516,3667
"development program",516,3667
"internal consistency",517,3669
"research questions",517,3669
"public basic",517,3669
"game-based learning",520,3672
"working conditions",520,3672
"education commission",520,3672
"new curriculum",521,3675
"language learning",523,3676
"brazilian basic",527,3677
"brazilian basic education",527,3677
"research study",530,3679
"current situation",534,3680
"social development",535,3681
"human resource",535,3681
"teaching science",535,3681
"comparative study",537,3684
"economic growth",540,3685
"latin america",540,3685
"lesson plans",544,3687
"social justice",545,3688
"special educational needs",545,3688
"health promotion",547,3690
"teaching materials",547,3690
"initial training",548,3692
"united nations",550,3693
"correlation coefficient",552,3694
"independent variables",553,3695
"regular basic education",553,3695
"regular basic",553,3695
"elementary level",555,3698
"special educational",556,3699
"associated factors",557,3700
"school leaders",557,3700
"randomized control",558,3702
"in-service teacher",559,3703
"teachers working",560,3704
"african schools",561,3705
"education classes",561,3705
"south african schools",561,3705
"right to education",564,3708
"effect size",565,3709
"preparation programs",566,3710
"public elementary school",566,3710
"public policy",568,3712
"higher education institutions",569,3713
"access to education",570,3714
"teachersâ€™ perception",575,3715
"teachers of basic education",577,3716
"human rights",582,3717
"curriculum development",584,3718
"undergraduate students",584,3718
"early years",586,3720
"basic education development",588,3721
"health services",591,3722
"student achievement",591,3722
"empirical evidence",592,3724
"school science",592,3724
"lifelong learning",593,3726
"use of technology",593,3726
"pre-service elementary",594,3728
"elementary science",595,3729
"educational systems",596,3730
"learning motivation",596,3730
"university students",596,3730
"basic education system",596,3730
"classroom teachers",596,3730
"experimental study",599,3735
"education majors",599,3735
"exploratory study",600,3737
"methods courses",604,3738
"elementary classroom",606,3739
"fourth grade",608,3740
"environmental education",610,3741
"research results",610,3741
"language teaching",614,3743
"education department",617,3744
"development index",618,3745
"body mass index",621,3746
"teacher professional",621,3746
"preservice elementary",623,3748
"learning processes",624,3749
"learning strategies",624,3749
"school management",624,3749
"student teachers",624,3749
"undergraduate student",625,3753
"sub-saharan africa",626,3754
"university student",626,3754
"focus groups",629,3756
"learning experiences",633,3757
"school studentsâ€™",635,3758
"body mass",638,3759
"human capital",638,3759
"female students",638,3759
"education levels",640,3762
"descriptive analysis",641,3763
"qualitative analysis",643,3764
"quantitative approach",643,3764
"classroom practice",644,3766
"action research",645,3767
"education programmes",645,3767
"primary school teachers",645,3767
"teacher education programs",648,3770
"mixed methods",652,3771
"gender differences",653,3772
"independent variable",654,3773
"rio de janeiro",657,3774
"educational policy",661,3775
"teaching-learning process",662,3776
"structured questionnaire",663,3777
"learning approach",664,3778
"vocational education",666,3779
"questionnaire survey",668,3780
"study design",669,3781
"factors affecting",672,3782
"educational resources",673,3783
"basic school",677,3784
"foreign language",677,3784
"school performance",680,3786
"study conducted",680,3786
"higher education institution",683,3788
"teaching material",684,3789
"education sector",685,3790
"gender difference",691,3791
"grade level",691,3791
"learning achievement",698,3793
"science teachers",698,3793
"development goals",699,3795
"public elementary",699,3795
"educational program",701,3797
"linear regression",704,3798
"elementary education students",705,3799
"senior high school",708,3800
"dependent variables",711,3801
"educational practice",713,3802
"marital status",714,3803
"teaching experience",714,3803
"learning performance",717,3805
"teaching strategies",726,3806
"classroom teacher",727,3807
"computational thinking",727,3807
"educational reform",727,3807
"mathematics teachers",731,3810
"information technology",732,3811
"educational resource",738,3812
"health service",738,3812
"initial teacher",740,3814
"education systems",747,3815
"elementary education teachers",750,3816
"document analysis",753,3817
"school curriculum",756,3818
"rural schools",757,3819
"education development",759,3820
"curriculum guidelines",761,3821
"critical thinking",765,3822
"communication technologies",766,3823
"studentsâ€™ learning",769,3824
"thinking skills",772,3825
"urban areas",772,3825
"descriptive study",772,3825
"21st century",777,3828
"compulsory education",778,3829
"demographic characteristics",781,3830
"basic education students",795,3831
"school district",799,3832
"educational process",800,3833
"primary school students",800,3833
"thematic analysis",801,3835
"social sciences",809,3836
"adult education",819,3837
"continuing education",822,3838
"school context",825,3839
"teaching profession",828,3840
"school principals",834,3841
"natural science",835,3842
"education policies",838,3843
"young children",850,3844
"educational technology",851,3845
"general education",851,3845
"department of education",855,3847
"private schools",858,3848
"health education",861,3849
"education course",862,3850
"teacher candidates",863,3851
"social studies",865,3852
"practical implications",867,3853
"educational needs",869,3854
"odds ratio",870,3855
"minas gerais",873,3856
"learning activities",877,3857
"confirmatory factor analysis",881,3858
"teacher candidate",882,3859
"structural equation model",885,3860
"education reform",886,3861
"junior high school",895,3862
"positive attitude",911,3863
"sixth grade",912,3864
"learning experience",915,3865
"statistical analysis",916,3866
"longitudinal study",918,3867
"curriculum reform",919,3868
"mathematics education",922,3869
"equation model",929,3870
"dependent variable",940,3871
"social science",943,3872
"mathematics teacher",949,3873
"junior high",951,3874
"middle school",952,3875
"structural equation",959,3876
"developing countries",962,3877
"school principal",962,3877
"teacher preparation",963,3879
"national curriculum",975,3880
"basic education level",977,3881
"quality of education",978,3882
"universal basic education",982,3883
"urban area",984,3884
"school environment",993,3885
"universal basic",996,3886
"12-year basic education",1000,3887
"12-year basic",1000,3887
"pedagogical practices",1005,3889
"teaching methods",1009,3890
"literature review",1013,3891
"reading comprehension",1022,3892
"high school student",1023,3893
"rural school",1034,3894
"rio grande do sul",1048,3895
"experimental design",1052,3896
"qualitative approach",1056,3897
"science teacher",1057,3898
"elementary education teacher",1058,3899
"sustainable development",1059,3900
"confidence interval",1062,3901
"young people",1069,3902
"learning environments",1071,3903
"public policies",1073,3904
"quality education",1074,3905
"private school",1079,3906
"confirmatory factor",1079,3906
"basic education schools",1080,3908
"educational policies",1081,3909
"sã£o paulo",1109,3910
"educational research",1113,3911
"education institutions",1113,3911
"quality of life",1115,3913
"teacher educators",1118,3914
"mixed method",1121,3915
"teacher education program",1121,3915
"school level",1124,3917
"future teachers",1127,3918
"science teaching",1135,3919
"school system",1138,3920
"problem solving",1172,3921
"training program",1174,3922
"early childhood education",1181,3923
"socioeconomic status",1181,3923
"future teacher",1183,3925
"educational institutions",1193,3926
"basic education program",1203,3927
"academic achievement",1210,3928
"teacher educator",1210,3928
"physical activity",1211,3930
"formal education",1219,3931
"content knowledge",1222,3932
"student learning",1225,3933
"high schools",1252,3934
"inclusive education",1254,3935
"education for all",1281,3936
"education institution",1292,3937
"factor analysis",1300,3938
"english language",1313,3939
"qualitative study",1334,3940
"basic education curriculum",1339,3941
"qualitative data",1343,3942
"future research",1344,3943
"adult basic education",1361,3944
"education programme",1366,3945
"adult basic",1380,3946
"childhood education",1382,3947
"basic education school",1386,3948
"united states",1401,3949
"descriptive statistics",1405,3950
"ministry of education",1410,3951
"national education",1410,3951
"health care",1416,3953
"regression analysis",1419,3954
"regression model",1423,3955
"mental health",1424,3956
"school child",1427,3957
"school children",1427,3957
"educational institution",1443,3959
"teaching practices",1465,3960
"teaching method",1472,3961
"learning outcomes",1474,3962
"pedagogical practice",1483,3963
"education schools",1499,3964
"public health",1513,3965
"public education",1541,3966
"risk factors",1545,3967
"elementary students",1557,3968
"learning outcome",1578,3969
"rural areas",1582,3970
"academic performance",1595,3971
"research design",1597,3972
"education programs",1603,3973
"science education",1621,3974
"elementary student",1623,3975
"pre-service teachers",1630,3976
"education policy",1642,3977
"secondary schools",1669,3978
"elementary school teachers",1689,3979
"educational level",1698,3980
"economic status",1711,3981
"education curriculum",1718,3982
"rural area",1727,3983
"covid-19 pandemic",1740,3984
"physical education",1752,3985
"elementary school teacher",1765,3986
"qualitative research",1776,3987
"school education",1785,3988
"preservice teachers",1810,3989
"risk factor",1814,3990
"elementary teachers",1817,3991
"pre-service teacher",1823,3992
"based learning",1847,3993
"special education",1849,3994
"education school",1949,3995
"preservice teacher",1971,3996
"semi-structured interviews",1974,3997
"basic education teachers",1983,3998
"education students",2090,3999
"teaching practice",2104,4000
"elementary teacher",2113,4001
"educational system",2137,4002
"early childhood",2153,4003
"data analysis",2173,4004
"basic education teacher",2190,4005
"primary schools",2221,4006
"grade students",2352,4007
"learning environment",2360,4008
"logistic regression",2460,4009
"elementary school students",2511,4010
"control group",2557,4011
"content analysis",2575,4012
"elementary school student",2576,4013
"department of basic education",2604,4014
"cross-sectional study",2612,4015
"south african",2664,4016
"primary education",2674,4017
"sectional study",2732,4018
"professional development",2750,4019
"learning process",2760,4020
"education level",2760,4020
"structured interview",2887,4022
"elementary schools",2921,4023
"public schools",2921,4023
"teacher training",3050,4025
"secondary education",3205,4026
"data collection",3291,4027
"secondary school",3410,4028
"school teachers",3533,4029
"education system",3609,4030
"education teachers",3714,4031
"school teacher",3819,4032
"service teachers",3832,4033
"south africa",4018,4034
"public school",4079,4035
"teacher education",4344,4036
"education teacher",4405,4037
"education program",4445,4038
"case study",4528,4039
"higher education",4620,4040
"high school",4738,4041
"primary school",5224,4042
"school students",5227,4043
"school student",5324,4044
"elementary school",10506,4045
"elementary education",17193,4046
"basic education",41226,4047
